voyageID,voyage,port,whaling_ground,sealing_ground,year,whales,whale_oil,seals,seal_oil,whales_other,source,masterID,master_unc,master,vesselID,vessel,vessel_type,tonnage,notes
SV0001,Trial : 1750,Edinburgh/Leith,East Greenland,Only whaling,1750,0,0,,,,,SM0530,,"Whitehead, J",SS274,Trial,sailing vessel,,
SV0004,Argyle : 1751,Campbelton,East Greenland,Only whaling,1751,0,0,,,,,SM0241,,"Kennedy, J",SS026,Argyle,sailing vessel,,
SV0005,Campbelton : 1751,Campbelton,East Greenland,Only whaling,1751,0,0,,,,,SM0304,,"Mccallum, M",SS042,Campbelton,sailing vessel,,
SV0003,Hopeton : 1751,Edinburgh/Leith,East Greenland,Only whaling,1751,0,0,,,,,SM0000,,Unknown,SS127,Hopeton,sailing vessel,,Lost at EG.
SV0002,Trial : 1751,Edinburgh/Leith,East Greenland,Only whaling,1751,0,0,,,,,SM0328,,"Murray, A",SS274,Trial,sailing vessel,,
SV0006,Glasgow Fisher : 1751,Glasgow,Davis Strait,Only whaling,1751,4.5,32,,,,,SM0242,,"Kerr, A",SS109,Glasgow Fisher,sailing vessel,,First vessel to clear for DS and 1st whale taken in that region by a Scottish vessel.
SV0007,Peggy : 1751,Glasgow,East Greenland,Only whaling,1751,0,0,,,,,SM0205,,"Hamilton, F",SS198,Peggy,sailing vessel,,
SV0012,Peggy : 1752,Borrowstouneness,East Greenland,Only whaling,1752,3,,,,,,SM0187,,Gray,SS199,Peggy,sailing vessel,,Two vessels named Peggy sailed.
SV0017,Argyle : 1752,Campbelton,East Greenland,Only whaling,1752,0,0,,,,,SM0323,,Monro,SS026,Argyle,sailing vessel,,
SV0016,Campbelton : 1752,Campbelton,East Greenland,Only whaling,1752,1,,,,,,SM0304,,"Mccallum, M",SS042,Campbelton,sailing vessel,,
SV0011,North Star : 1752,Dunbar,East Greenland,Only whaling,1752,5,,,,,,SM0175,,Fowler,SS189,North Star,sailing vessel,,
SV0009,Edinburgh : 1752,Edinburgh/Leith,East Greenland,Only whaling,1752,6,,,,,,SM0091,,"Chiene, W",SS078,Edinburgh,sailing vessel,,
SV0008,Royal Bounty : 1752,Edinburgh/Leith,East Greenland,Only whaling,1752,5,,,,,,SM0396,?,"Roxburgh, W",SS235,Royal Bounty,sailing vessel,,
SV0010,Trial : 1752,Edinburgh/Leith,East Greenland,Only whaling,1752,2,,,,,,SM0004,,"Adams, W",SS274,Trial,sailing vessel,,
SV0015,Glasgow Fisher : 1752,Glasgow,Davis Strait,Only whaling,1752,4,,,,,,SM0242,,"Kerr, A",SS109,Glasgow Fisher,sailing vessel,,
SV0013,Peggy : 1752,Glasgow,East Greenland,Only whaling,1752,2,,,,,,SM0372,,Reid,SS198,Peggy,sailing vessel,,Two vessels named Peggy sailed.
SV0014,Thistle : 1752,Glasgow,East Greenland,Only whaling,1752,7,,,,,,SM0254,,Lang,SS264,Thistle,sailing vessel,,
SV0030,City of Aberdeen : 1753,Aberdeen,East Greenland,Only whaling,1753,2,,,,,,SM0348,,Park,SS049,City of Aberdeen,sailing vessel,,
SV0031,St Anne : 1753,Aberdeen,East Greenland,Only whaling,1753,5,,,,,,SM0254,,Lang,SS251,St Anne,sailing vessel,,
SV0026,Peggy : 1753,Borrowstouneness,East Greenland,Only whaling,1753,5,,,,,,SM0187,,Gray,SS199,Peggy,sailing vessel,,
SV0024,Blessed Endeavour : 1753,Dunbar,East Greenland,Only whaling,1753,7,,,,,,SM0396,,Roxburgh,SS031,Blessed Endeavour,sailing vessel,,
SV0025,North Star : 1753,Dunbar,East Greenland,Only whaling,1753,1,,,,,,SM0000,,Unknown,SS189,North Star,sailing vessel,,
